PV;Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
611;"Tweede spoortontsluiting Antwerpse haven - Trajectkeuze";12-03-2014;;"Vanderpoorten Marleen";;25-03-2014;;WA;;25-03-2014;25-03-2014;25-03-2014;25-03-2014;
600;"E34 Herstellingen";06-03-2014;;"Van Dijck Kris";;18-03-2014;;WA;;18-03-2014;18-03-2014;18-03-2014;18-03-2014;
594;"Arendonk - aanleg fietsinfrastructuur";05-03-2014;;"Kennes Ward";;17-03-2014;;WA;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;
510;"Tramlijnen 2 en 4 Antwerpen - doorstroming aan kruispunten";18-02-2014;;"Penris Jan";;07-03-2014;;WA;;07-03-2014;07-03-2014;07-03-2014;07-03-2014;
586;"Doortrekking N171 Kontich-Boom - Stand van zaken";28-02-2014;;"Peeters Dirk";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
573;" Wegverharding E34 Zoersel - Turnhout - Timing";27-02-2014;;"Kennes Ward";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
572;"Herbelijning kruispunt R11/N1 Mortsel - timing";27-02-2014;;"Vermeiren Goedele";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
542;"N123 Herentals - Lichtaart - Verkeersveiligheid";21-02-2014;;"Reekmans Peter";;06-03-2014;;WA;;06-03-2014;06-03-2014;06-03-2014;06-03-2014;
519;"Krigsbaan Hoboken - Overdracht";19-02-2014;;"Wienen Wim";;03-03-2014;;WA;;03-03-2014;03-03-2014;03-03-2014;03-03-2014;
507;"Nx Stabroek - stand van zaken";17-02-2014;;"Peeters Dirk";;27-02-2014;;WA;;01-01-1970;27-02-2014;27-02-2014;27-02-2014;
487;"E313 Olen - geuidsschermen";12-02-2014;;"Smaers Griet";;24-02-2014;;WA;;;24-02-2014;24-02-2014;24-02-2014;
485;"Vrije busbaan N177 - Uitbreiding";10-02-2014;;"De Ridder Annick";;21-02-2014;;WA;;01-01-1970;21-02-2014;21-02-2014;21-02-2014;
483;"Kempische Noord-Zuidverbinding - Kostprijs";10-02-2014;;"Peeters Dirk";;21-02-2014;;WA;;01-01-1970;21-02-2014;21-02-2014;21-02-2014;
473;"Fietspad N10 Koningshooikt - heraanleg";06-02-2014;;"Hendrickx Marc";;19-02-2014;;WA;;01-01-1970;19-02-2014;19-02-2014;19-02-2014;
465;"E34 Antwerpen - eindhoven - verlichtingspalen afrit 24";04-02-2014;;"Kennes Ward";;14-02-2014;;WA;;;14-02-2014;14-02-2014;14-02-2014;
440;"Oude Vaartstraat Ranst - Geluidsschermen";30-01-2014;;"Van den Eynde Marleen";;12-02-2014;;WA;;;12-02-2014;12-02-2014;12-02-2014;
439;"E19 Keizershoek Kontich - Geluidsscherm";30-01-2014;;"Van den Eynde Marleen";;12-02-2014;;WA;;;12-02-2014;12-02-2014;12-02-2014;
435;"Kruispunt Vrijheid / Buizelstraat Hoogstraten - Zebrapad";29-01-2014;;"Huybrechts Patrick ";;11-02-2014;;WA;;;11-02-2014;11-02-2014;11-02-2014;
427;"Albertkanaal Oelegem - Flitscamera";28-01-2014;;"Schrijvers Katrien";;10-02-2014;;WA;;;10-02-2014;10-02-2014;10-02-2014;
408;"Fietspad N118 - Arendonk - Ravels - Weigering bouwvergunning";23-01-2014;;"Kennes Ward";;05-02-2014;;WA;;;05-02-2014;05-02-2014;05-02-2014;
407;"E314 - E34 Tuinwijk Borgerhout - Geluidsschermen";23-01-2014;;"Homans Liesbeth";;05-02-2014;;WA;;;05-02-2014;05-02-2014;05-02-2014;
401;"N118 - Arendonk Ravels - aanleg fietspad";22-01-2014;;"Reekmans Peter";;04-02-2014;;WA;;;04-02-2014;04-02-2014;04-02-2014;
398;"Kruispunt Desguinlei-Van Rijswycklaan Antwerpen - Geluidssignalen voor blinden en slechtzienden";22-01-2014;;"De Gucht Jean-Jacques";;04-02-2014;;WA;;;04-02-2014;04-02-2014;04-02-2014;
397;"Verhoging brug Houtlaan Wijnegem - Flankerende maatregelen";21-01-2014;;"Dillen Marijke";;03-02-2014;;WA;;;03-02-2014;03-02-2014;03-02-2014;
396;"N121 - Schilde - 's Gravenwezel - Gevaarlijke bocht";21-01-2014;;"Dillen Marijke";;03-02-2014;;WA;;;03-02-2014;03-02-2014;03-02-2014;
391;"Aanleg fietspad Herentals - Grobbendonk - stand van zaken";17-01-2014;;"Rzoska Björn";;03-02-2014;;WA;;;03-02-2014;03-02-2014;03-02-2014;
371;"Antwerpse Ring - Geluidsschermen";15-01-2014;;"Bastiaens Caroline";;28-01-2014;;WA;;;28-01-2014;28-01-2014;28-01-2014;
349;"N12 Turnhoutsebaan Antwerpen - Turnhout - heraanleg";09-01-2014;;"Dillen Marijke";;22-01-2014;;WA;;;22-01-2014;22-01-2014;22-01-2014;
317;"Kruispunten A12 - Ongevallen";20-12-2013;;"De Kort Dirk";;15-01-2014;;WA;;;15-01-2014;15-01-2014;15-01-2014;
310;"Gewestwegen stad Antwerpen - Fietsveiligheid";19-12-2013;;"Vogels Mieke";;16-01-2014;;WA;;;16-01-2014;16-01-2014;16-01-2014;
306;"Krijgsbaan Hoboken - Herstelling - Overdracht";18-12-2013;;"Wienen Wim";;10-01-2014;;WA;;;10-01-2014;10-01-2014;10-01-2014;
294;"Omleidingsweg N14 Zoersel - Stand van zaken";11-12-2013;;"Diependaele Matthias";;23-12-2013;;WA;;;23-12-2013;23-12-2013;23-12-2013;
267;"Niet-aangelegd fietspad Generaal Lemanstraat Antwerpen - herbestemming middelen";04-12-2013;;"Vogels Mieke";;17-12-2013;;WA;;;17-12-2013;17-12-2013;17-12-2013;
224;"Kruispunt N1-N12 Antwerpen - Verkeerslicht fietsers";28-11-2013;;"Vermeiren Goedele";;13-12-2013;;WA;;;13-12-2013;13-12-2013;13-12-2013;
178;"Bovenlokaal functioneel fietsroutennetwerk - provincie antwerpen";12-11-2013;;"Reekmans Peter";;22-11-2013;;WA;;;22-11-2013;22-11-2013;22-11-2013;
163;"Fly-over- N19 Geel - stand van zaken";06-11-2013;;"Reekmans Peter";;20-11-2013;;WA;;;20-11-2013;20-11-2013;20-11-2013;
124;"Masterplan 2020 Antwerpen - verbindingsweg N10-R11";28-10-2013;;"D'Hulster Steve";;08-11-2013;;WA;;;08-11-2013;08-11-2013;08-11-2013;
114;"Fietsbrug Mol - Postel - stand van zaken";24-10-2013;;"Deckx Kathleen";;06-11-2013;;WA;;;06-11-2013;06-11-2013;06-11-2013;
111;"Fietspad N10 Koningshooikt - procedure Raad van State";23-10-2013;;"Hendrickx Marc";;06-11-2013;;WA;;;06-11-2013;06-11-2013;06-11-2013;
89;"Fietspad N10 Koningshooikt - Heraanleg";18-10-2013;;"Vanderpoorten Marleen";;31-10-2013;;WA;;;31-10-2013;31-10-2013;31-10-2013;
85;"Fietspad Neerhoevenlaan - Groenhof Mortsel - Stand van zaken";17-10-2013;;"D'Hulster Steve";;30-10-2013;;WA;;;30-10-2013;30-10-2013;31-10-2013;
