PV;"Te laat";Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
674;Nee;"Missing link N60 Ronse - Gunningscriteria";02-04-2014;;"Meuleman Elisabeth";;15-04-2014;;WOV;;15-04-2014;15-04-2014;15-04-2014;15-04-2014;"2014-0674.doc, 2014 - PV0674_antwoord.docx, 2014-0674.docx"
663;Nee;"Kruispunt N70/N16 Sint-Niklaas - Rotonde";31-03-2014;;"Van Malderen Bart";;10-04-2014;;WOV;;10-04-2014;10-04-2014;10-04-2014;10-04-2014;"2014-0663.doc, 2014 - PV0663_antwoord.docx, EVT_PV_2014_38_663_Kruispunt N70-N16 Sint-Niklaas - Rotonde_leen.docx, 2014-0663.docx"
645;Nee;"Ontwerpen van decreet - externe adviezen ";24-03-2014;;"Dillen Marijke";;09-04-2014;;PCO;;09-04-2014;10-04-2014;10-04-2014;11-04-2014;"2014-0645.doc, 2014-0645-instructies.docx, 2014-0645-bijlage-tabel.xls, 2014_A_PV_645_Ontwerpen van decreet_externe adviezen.docx, 2014-0645-AWV.docx"
646;Nee;"Vlaamse overheid - E-Government";24-03-2014;;"Dillen Marijke";;18-04-2014;;PCO;;18-04-2014;21-04-2014;21-04-2014;23-04-2014;"2014-0646.doc, instructies schriftelijke vraag 646 mbt Vlaamse overheid- E-government.htm, 2014_A_PV_646_Vlaamse overheid_E-Government.docx, 2014_A_PV_646_Vlaamse overheid_E-Government.xls, 2014-0646-AWV.docx, 2014-0646-AWV-bijlage.xls"
628;Nee;"Beheersovereenkomsten en subsidievoorwaarden - toegankelijkheidsbeleid";18-03-2014;;"Dillen Marijke";;08-04-2014;;PCO;;08-04-2014;08-04-2014;08-04-2014;08-04-2014;"2014-0628.doc, 2014-0628instructies.msg, 2014_A_PV_628_Beheersovereenkomsten en subsidievoorwaarden_toegankelijkheidsbeleid.docx, 2014-0628-AWV.docx"
633;Nee;"Vlaamse overheid - Kunstintegratie";20-03-2014;;"De Ro Jo";;08-04-2014;;PCO;;08-04-2014;08-04-2014;08-04-2014;08-04-2014;"2014-0633.docx, 2014-0633instructies.msg, 2014_A_PV_633_Vlaamse overheid_Kunstintegratie.docx, 2014_A_PV_633_Vlaamse overheid_Kunstintegratie.xlsx, 2014-0633-AWV.docx, 2014-0633-AWV-bijlage.xlsx"
661;Nee;"Albertkanaal - Verbreding - Verhoging bruggen";28-03-2014;;"Reekmans Peter";"Geen elementen van antwoord";08-04-2014;;WA;;08-04-2014;08-04-2014;08-04-2014;08-04-2014;2014-0661.doc
660;Nee;" ""Groene"" geluidsschermen - Onderzoek";27-03-2014;;"Lachaert Egbert";;07-04-2014;;WK;;07-04-2014;07-04-2014;07-04-2014;07-04-2014;"2014-0660.docx, 2014-0660.doc, 2014-0660.doc"
657;Nee;"Resolutie betreffende doorstroming in het verkeer - evaluaties";26-03-2014;;"Dillen Marijke";;09-04-2014;;EVT;;09-04-2014;10-04-2014;10-04-2014;09-04-2014;"2014-0657.doc, EVT_PV_2014_36_657_Resolutie betreffende doorstroming in het verkeer - Evaluaties_leen.doc, 2014-0657-AWV.doc"
656;Nee;"Resolutie betreffende doorstroming in het verkeer - initiatieven";26-03-2014;;"Dillen Marijke";;09-04-2014;;EVT;;09-04-2014;10-04-2014;10-04-2014;09-04-2014;"2014-0656.doc, EVT_PV_2014_35_656_Resolutie betreffende doorstroming in het verkeer - Initiatieven_leen.doc, 2014-0656-AWV.doc"
655;Nee;"N441 te Ename - snelheidsbeperking";26-03-2014;;"De Meulemeester Marnic";;09-04-2014;;WOV;;09-04-2014;10-04-2014;10-04-2014;09-04-2014;"2014-0655.doc, 2014 - PV0655_antwoord.docx"
651;Nee;"Heraanleg N14 te Zandhoven - stand van zaken";26-03-2014;;"Vermeiren Goedele";"Input De Lijn toegevoegd";09-04-2014;;WA;;09-04-2014;10-04-2014;10-04-2014;09-04-2014;"2014-0651.doc, 2014-0651DeLijn.doc, pv2014-044-651-ant.doc, 2014-0651-gec.docx"
650;Nee;"Geluidshinder door wegverkeer - maatregelen ";25-03-2014;;"Dillen Marijke";;15-04-2014;;PCO;;15-04-2014;16-04-2014;16-04-2014;18-04-2014;"2014-0650.doc, 2014_A_PV_650.docx, 2014_A_PV_650_bijlage.xlsx, 2014-0650-1.docx"
647;Nee;"Gewestwegen - strooizout";25-03-2014;;"Robeyns Els";;08-04-2014;;PCO;;08-04-2014;09-04-2014;09-04-2014;18-04-2014;"2014-0647.doc, 2014_A_PV_647_Gewestwegen_Strooizout.doc, 2014-0647.doc"
545;Nee;"Elisabethlaan Oostende - Ondertunneling";25-02-2014;;"Verstreken Johan";;07-03-2014;;WWV;;07-03-2014;07-03-2014;07-03-2014;07-03-2014;"2014-0545.doc, 2014-0545.doc"
641;Nee;" FAST-takeldienst - Stand van zaken";21-03-2014;;"D'Hulster Steve";;04-04-2014;;EVT;;04-04-2014;04-04-2014;04-04-2014;04-04-2014;"2014-0641.docx, EVT_PV_2014_34_641_FAST-takeldienst - Stand van zaken_leen2_ETC.doc, 2014-0641.doc"
638;Nee;"N47 Lokeren - Verkeersveiligheid";21-03-2014;;"Rzoska Björn";;04-04-2014;;WOV;;04-04-2014;04-04-2014;04-04-2014;04-04-2014;"2014-0638.docx, 2014 - PV0638_antwoord.docx, 2014 - PV0638_bijlage_N47_Lokeren_2007-2011.xlsx, 2014-0638.docx"
631;Nee;"Kruispunten gewestwegen - veilig afslaan voor fietsers";19-03-2014;;"Yuksel Veli";"BMV coördineert";01-04-2014;;EVT;;01-04-2014;01-04-2014;01-04-2014;01-04-2014;"2014-0631.doc, EVT_PV_2014_33_631_Kruispunten gewestwegen - Veilig afslaan voor fietsers_leen-Eva.doc, 2014-0631.doc"
629;Nee;"Carpoolparkings - West-Vlaanderen (2)";19-03-2014;;"Vandaele Wilfried";"De Afdeling Beleid Mobiliteit en Verkeersveiligheid (Departement MOW) is trekker van de studie waarvan sprake in de vraag.  Deze vraag moet dan ook aan deze afdeling gesteld worden.";01-04-2014;;WWV;;01-04-2014;01-04-2014;01-04-2014;01-04-2014;2014-0629.doc
;Nee;"Transportcommissie van het Europees Parlement staat op de rem voor de invoering van LZV's";18-03-2014;;"Jans Lies";"Het proefproject LZV?s in Vlaanderen gaat uit van ritten die volledig op Vlaams grondgebied plaats vinden.
Het al dan niet toestaan op Europees niveau om de grenzen te overschrijden heeft dus geen invloed op het proefproject.
";19-03-2014;;EVT;;19-03-2014;19-03-2014;19-03-2014;19-03-2014;2014-actuelevraagjans.doc
591;Nee;"R4 Zwijnaarde - brug Brugsevaart - verlichting fietspad (2)";04-03-2014;;"Yuksel Veli";;17-03-2014;;WOV;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;"2014-0591.doc, 2014-0591.docx"
624;Nee;"Fietspad N36 Deerlijk - Veilige doorgang";14-03-2014;;"Kindt Els";;26-03-2014;;WWV;;26-03-2014;26-03-2014;26-03-2014;26-03-2014;"2014-0624.docx, 2014-0624.doc"
617;Nee;"Gewestwegen stad Antwerpen - fietsveiligheid (2)";13-03-2014;;"Vogels Mieke";;26-03-2014;;WA;;26-03-2014;26-03-2014;26-03-2014;26-03-2014;"2014-0617.doc, pv2014-043-617-ant.doc, 2014-0617.doc"
1124;Nee;"FAST en incident management";12-03-2014;;"Jans Lies";;17-03-2014;;EVT;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;"2014-1124vou.docx, 2014-1104en1124-AWV.doc"
1104;Nee;"Klachten over FAST-takeldiensten";10-03-2014;;"Keulen Marino";;17-03-2014;;EVT;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;"2014-1104vou.docx, 2014-1104en1124-AWV.doc"
614;Nee;"Gewestwegen Antwerpen - overdracht naar de stad";12-03-2014;;"Wienen Wim";;25-03-2014;;WA;;25-03-2014;25-03-2014;25-03-2014;25-03-2014;"2014-0614.doc, pv2014-042-614-ant.doc, 2014-0614.doc"
612;Nee;"Heraanleg kruispunt N14 / R16 Lier - stand van zaken (2)";12-03-2014;;"Vanderpoorten Marleen";;25-03-2014;;WA;;25-03-2014;25-03-2014;25-03-2014;25-03-2014;"2014-0612.doc, pv2014-041-612-ant.doc, 2014-0612.doc"
611;Nee;"Tweede spoortontsluiting Antwerpse haven - Trajectkeuze";12-03-2014;;"Vanderpoorten Marleen";;25-03-2014;;WA;;25-03-2014;25-03-2014;25-03-2014;25-03-2014;"2014-0611.doc, pv2014-040-611-ant.doc, 2014-0611-AWV.doc"
496;Nee;"Vlaamse overheid - contracten met beveiligingsfirma's";13-02-2014;;"Roegiers Jan";;12-03-2014;;PCO;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0496.doc, 2014_A_PV_496_Vlaamse overheid_Contracten met beveiligingsfirma.xlsx, 2014-0496-AWV-sjabloon.xlsx"
609;Nee;"N441 - Doortocht Nederename - stand van zaken";11-03-2014;;"Franssen Cindy";;24-03-2014;;WOV;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;"2014-0609.doc, 2014-0609.docx"
608;Nee;"Integraal fietsinvesteringsprogramma - fietsbrug N60 Leupegem";11-03-2014;;"Franssen Cindy";;24-03-2014;;WOV;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;"2014-0608.doc, 2014-0608.docx"
607;Nee;"N368 en N44 Knesselare - verkeershinder";11-03-2014;;"Rzoska Björn";;24-03-2014;;WOV;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;"2014-0607.doc, 2014-0607.doc"
605;Nee;"FAST - netwerk";11-03-2014;;"Huybrechts Pieter";;24-03-2014;;EVT;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;"2014-0605.doc, 2014-0605.doc"
604;Nee;"Noord-zuidverbinding Limburg - stand van zaken";11-03-2014;;"Reekmans Peter";;24-03-2014;;WL;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;"2014-0604.doc, 2014-0604.doc, 2014-0604-aangepast.doc"
603;Nee;"Dubbele rotondes - bestemming";10-03-2014;;"Reekmans Peter";;20-03-2014;;EVT;;20-03-2014;20-03-2014;20-03-2014;20-03-2014;"2014-0603.doc, EVT_PV_2014_27_603_Dubbele rotondes - Bestemming_leen.doc, 2014-0603.doc"
602;Nee;"Incidentmanagement - ongevallencoördinator";10-03-2014;;"Jans Lies";;20-03-2014;;EVT;;20-03-2014;20-03-2014;20-03-2014;20-03-2014;"2014-0602.doc, EVT_PV_2014_26_602_Incidentmanagement - OngevallencoÃ¶rdinator_leen-Eva.doc, 2014-0602-AWV.doc, Def antw vraag 602.doc"
601;Nee;"Heraanleg Brusselsesteenweg Gent - Communicatie";06-03-2014;;"Stevens Helga";;18-03-2014;;WOV;;18-03-2014;18-03-2014;18-03-2014;18-03-2014;"2014-0601.doc, 2014-0601.docx"
600;Nee;"E34 Herstellingen";06-03-2014;;"Van Dijck Kris";;18-03-2014;;WA;;18-03-2014;18-03-2014;18-03-2014;18-03-2014;"2014-0600.doc, 2014-0600-aangepast.doc"
599;Nee;"Afbraak grenspost E17 Rekkem - Asbest";06-03-2014;;"Tommelein Bart";;18-03-2014;;WWV;;18-03-2014;18-03-2014;18-03-2014;18-03-2014;"2014-0599.doc, 2014-0599.doc"
598;Nee;"Doortrekking N41 Aalst - Dendermonde - stand van zaken";06-03-2014;;"Van der Borght Vera";;18-03-2014;;WOV;;18-03-2014;18-03-2014;18-03-2014;18-03-2014;"2014-0598.doc, 2014-0598.docx"
597;Nee;"Evaluatie staat wegdek - parameters - N444 Merelbeke";06-03-2014;;"Lachaert Egbert";;18-03-2014;;WOV;;18-03-2014;18-03-2014;18-03-2014;18-03-2014;"2014-0597.doc, 2014-0597.docx"
588;Nee;"Vlaamse overheid - Waarborgregeling";03-03-2014;;"Vereeck Lode";"Door het Agentschap Wegen en Verkeer wordt geen waarborgregeling beheerd, dus deze vraag is niet van toepassing.";17-03-2014;;PCO;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;2014-0588.doc
596;Nee;"N42 - Wetteren - Zottegem - Geraardsbergen - stand an zaken";05-03-2014;;"Van der Borght Vera";;17-03-2014;;WOV;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;"2014-0596.doc, 2014-0596.docx"
595;Nee;"Verkeersafwikkeling Aalsterse Ring - Kruispunt Siesegemlaan";05-03-2014;;"Van der Borght Vera";;17-03-2014;;WOV;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;"2014-0595.doc, 2014-0595-aangepast.docx"
594;Nee;"Arendonk - aanleg fietsinfrastructuur";05-03-2014;;"Kennes Ward";;17-03-2014;;WA;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;"2014-0594.doc, 2014-0594.doc"
593;Nee;"N411 Aalst - Moorsel - herinrichting";05-03-2014;;"Van der Borght Vera";;17-03-2014;;WOV;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;"2014-0593.doc, 2014-0593.docx"
544;Nee;"Vlaamse overheid   -   Vlaams Fonds voor de Lastendelging";21-02-2014;;"Vereeck Lode";;10-03-2014;;PCO;;10-03-2014;10-03-2014;10-03-2014;10-03-2014;2014-0544.doc
543;Nee;"Vlaamse overheid   -   Schadeclaims";21-02-2014;;"Vereeck Lode";"AJD heeft geantwoord. Zie e-room";10-03-2014;;PCO;;10-03-2014;10-03-2014;10-03-2014;10-03-2014;2014-0543.doc
510;Nee;"Tramlijnen 2 en 4 Antwerpen - doorstroming aan kruispunten";18-02-2014;;"Penris Jan";;07-03-2014;;WA;;07-03-2014;07-03-2014;07-03-2014;07-03-2014;"2014-0510.doc, 2014-0510-AWV-gec-aangepast.doc, Def antw vraag 510.doc"
590;Ja;"Kanaalweg (N391) te Zwevegem - verlichting en aanplantingen";03-03-2014;;"Poleyn Sabine";;14-03-2014;;WWV;;13-03-2014;14-03-2014;14-03-2014;14-03-2014;"2014-0590.doc, 2014-0590.doc, 2014-0590-aangepast.doc"
587;Ja;"Heraanleg N42 te Herzele - onteigeningsprocedure en bezwaarschriften";03-03-2014;;"Diependaele Matthias";;17-03-2014;;WOV;;16-03-2014;17-03-2014;17-03-2014;17-03-2014;"2014-0587.doc, 2014-0587.docx"
363;Ja;"Alternatieve financiering overheidsinvesteringen - beschikbaarheidsvergoedingen";19-02-2014;;"Vereeck Lode";"Werkblad Missing Links I is aangevuld, a.d.h.v. laatste berekeningen PMV (d.d. 06/03/2014)
Wat Missing Links II betreft, is het nog niet mogelijk een inschatting te maken van de beschikbaarheidsvergoedingen voor deze nieuwe PPS-projecten. Er zijn teveel onbekende variabelen en onduidelijkheden qua timing en uitvoering.
De gegevens in de tabel contactpersonen waren reeds aangevuld, hieraan moet niets gewijzigd worden";07-03-2014;;PCO;;06-03-2014;07-03-2014;07-03-2014;06-03-2014;"2014_A_PV_363_Peeters_sjabloon.xlsx, 2014-0363-brief.doc, 2014-0363-AWV-sjabloon.xlsx"
583;Ja;"Spitsstroken - veiligheidsbeleid";28-02-2014;;"Keulen Marino";;10-03-2014;;EVT;;09-03-2014;09-03-2014;09-03-2014;03-03-2014;"2014-0583.docx, 2014-0583-AWV.doc"
586;Nee;"Doortrekking N171 Kontich-Boom - Stand van zaken";28-02-2014;;"Peeters Dirk";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0586.docx, 2014-0586.doc"
584;Nee;"Autosnelwegparkings Westkerke - Tijdelijke sluiting";28-02-2014;;"Tommelein Bart";;12-03-2014;;WWV;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;2014-0584.docx
582;Nee;"N8 Ieper-Veurne - Schorsing GRUP";28-02-2014;;"Tommelein Bart";;12-03-2014;;WWV;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0582.docx, 2014-0582.doc"
580;Nee;"Vlakheidsnormen fietspaden - Profilometer";28-02-2014;;"Reekmans Peter";;12-03-2014;;WK;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0580.docx, 2014-0580.doc"
579;Nee;"Veiligheid motorrijders - Maatregelen";28-02-2014;;"De Waele Patricia";;12-03-2014;;EVT;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0579.docx, 2014-0579-AWV.doc"
578;Nee;"Kruispunt N17/Mechelsesteenweg Dendermonde - Herinrichting";28-02-2014;;"Meremans Manus";;12-03-2014;;WOV;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0578.docx, 2014-0578.docx"
576;Nee;"E17 Aalbeke - Aquaplanning";28-02-2014;;"Lachaert Egbert";;12-03-2014;;WWV;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0576.docx, 2014-0576.doc"
575;Nee;"Vlaams Infrastructuurfonds en AWV - Verkoop onroerende goederen";28-02-2014;;"Vereeck Lode";;12-03-2014;;PCO;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0575.docx, 2014-0575.doc"
558;Nee;"Vlaamse overheid - nieuwe huisstijl";25-02-2014;;"Van Mechelen Dirk";"Elementen van antwoord voor deelvraag 3";07-03-2014;;PCO;;07-03-2014;07-03-2014;07-03-2014;07-03-2014;"2014-0558.doc, 2014_A_PV_558_Vlaamse Overheid_Nieuwe huisstijl.docx, 2014-0558-AWV.docx"
574;Nee;"De Lijn Leuven - Doorstromingsonderzoek -busverkeer Centrum";27-02-2014;;"Eerlingen Tine";"De Lijn zorgt voor de opvolging van deze studie.
Gelieve u tot hen te richten.
";12-03-2014;;WVB;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;2014-0574.doc
573;Nee;" Wegverharding E34 Zoersel - Turnhout - Timing";27-02-2014;;"Kennes Ward";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0573.doc, 2014-0573-aangepast.doc"
572;Nee;"Herbelijning kruispunt R11/N1 Mortsel - timing";27-02-2014;;"Vermeiren Goedele";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0572.doc, 2014-0572.doc"
571;Nee;"Proefproject toeritdosering Mortsel - stand van zaken";27-02-2014;;"Vermeiren Goedele";;12-03-2014;;EVT;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0571.doc, 2014-0571.doc"
570;Nee;"Verkeersborden langs gewestwegen - plaatsingscriteria";27-02-2014;;"Dillen Marijke";;12-03-2014;;EVT;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0570.doc, 2014-0570.doc"
568;Nee;"N42 Oosterzele   -   Snelheidscamera?s";26-02-2014;;"Lachaert Egbert";;11-03-2014;;WOV;;11-03-2014;11-03-2014;11-03-2014;11-03-2014;2014-0568.doc
567;Nee;"Kruispunt Guldensporenlaan / R4 Merelbeke - Ongevallen";26-02-2014;;"Lachaert Egbert";;11-03-2014;;WOV;;11-03-2014;11-03-2014;11-03-2014;11-03-2014;"2014-0567.doc, 2014-0567.docx"
566;Nee;"Gewestwegen Kruishoutem - verkeesintensiteit";26-02-2014;;"Diependaele Matthias";;11-03-2014;;WOV;;11-03-2014;11-03-2014;11-03-2014;11-03-2014;"2014-0566.doc, 2014-0566.docx, 2014-0566bijlage1.xlsx, 2014-0566bijlage2.pdf"
563;Nee;"Kruispunt N370 / N368 Beernem - verkeersveiligheid";26-02-2014;;"Godderis-T'Jonck Danielle";;11-03-2014;;WWV;;11-03-2014;11-03-2014;11-03-2014;11-03-2014;"2014-0563.doc, 2014-0563.doc"
562;Nee;"Kwaliteit gewestwegen - Rapport - N49";26-02-2014;;"Taeldeman Valerie";;11-03-2014;;WK;;11-03-2014;11-03-2014;11-03-2014;11-03-2014;"2014-0562.doc, 2014-0562-aangepast.docx, 2014-0562bijlage.docx, 2014-0562bijlage1.pdf, 2014-0562bijlage2.pdf"
561;Nee;"Doortrekking N60 - Ronse - Stand van zaken";26-02-2014;;"Diependaele Matthias";;11-03-2014;;WOV;;11-03-2014;11-03-2014;11-03-2014;11-03-2014;"2014-0561.doc, 2014-0561-aangepast-2.docx"
1071;Ja;"Feit dat Vlaanderen nog altijd een slechte leerling is inzake verkeersveiligheid";26-02-2014;;"Keulen Marino";"Elementen van antwoord EVT";04-03-2014;;PCO;;03-03-2014;04-03-2014;04-03-2014;04-03-2014;"2014-1071vou.docx, 2014-1071-VOU-AWV.docx"
555;Ja;"Meerjarenraming 2014-2019 - Impact masterplan 2020";25-02-2014;;"Vereeck Lode";;04-03-2014;;Stafdienst;;01-01-1970;04-03-2014;04-03-2014;04-03-2014;"2014-0555.doc, 2014-0555-AWV.doc"
466;Ja;"Schuilhuisjes met reclame - Retributies";04-02-2014;;"Van Rouveroij Sas";;17-02-2014;;PCO;;01-01-1970;17-02-2014;17-02-2014;17-02-2014;"2014-0466.doc, 2014-0466-AWV-gec.doc"
542;Nee;"N123 Herentals - Lichtaart - Verkeersveiligheid";21-02-2014;;"Reekmans Peter";;06-03-2014;;WA;;06-03-2014;06-03-2014;06-03-2014;06-03-2014;"2014-0542.doc, 2014-0542-aangepast.doc"
541;Nee;"Missing links - West-Vlaanderen";21-02-2014;;"Tommelein Bart";;06-03-2014;;WWV;;06-03-2014;06-03-2014;06-03-2014;06-03-2014;"2014-0541.doc, 2014-0541.doc"
538;Nee;"Meldpunt wegen - klachten   ";21-02-2014;;"Reekmans Peter";;06-03-2014;;PCO;;06-03-2014;06-03-2014;06-03-2014;06-03-2014;"2014-0538.doc, 2014_A_PV_538_Meldpunt Wegen_Klachten.docx, 2014-0538.docx"
535;Nee;"Meldpunt fietspaden - Meldingen";21-02-2014;;"Reekmans Peter";;06-03-2014;;PCO;;06-03-2014;06-03-2014;06-03-2014;06-03-2014;"2014-0535.doc, 2014_A_PV_535_Meldpunt Fietspaden_Meldingen.docx, 2014-0535-AWV-gec..docx"
534;Nee;"Heraanleg kruispunt Ring Tienen - evaluatie";21-02-2014;;"Reekmans Peter";;06-03-2014;;WVB;;06-03-2014;06-03-2014;06-03-2014;06-03-2014;"2014-0534.doc, 2014-0534.doc"
533;Nee;"Trajectcontrole - aankondigingsborden";20-02-2014;;"Van Malderen Bart";;04-03-2014;;EVT;;04-03-2014;04-03-2014;04-03-2014;04-03-2014;"2014-0533.doc, 2014-0533.doc"
1012;Onberekenbaar;"Centraal ongevallenmeldpunt";17-02-2014;;"Keulen Marino";;24-02-2014;;EVT;;;24-02-2014;24-02-2014;24-02-2014;"2014-1012vou.docx, 2014-1012-VOU-AWV-gec.docx"
530;Ja;"Ring Brussel - Herinrichting afritten Dilbeek en N8";19-02-2014;;"Segers Willy";;03-03-2014;;WVB;;01-01-1970;03-03-2014;03-03-2014;03-03-2014;"2014-0530.doc, 2014-0530-AWV-gec.doc"
528;Nee;"Wegmarkeringen - omschakeling naa klasse R3";19-02-2014;;"De Ridder Annick";;03-03-2014;;EVT;;03-03-2014;03-03-2014;03-03-2014;03-03-2014;"2014-0528.doc, 2014-0528.doc"
525;Nee;"Sluipverkeer Mollem - Meise - maatregelen";19-02-2014;;"Segers Willy";;03-03-2014;;WVB;;03-03-2014;03-03-2014;03-03-2014;03-03-2014;"2014-0525.doc, 2014-0525.doc"
524;Nee;"Carpoolparking Hasselt Zuid - Bereikbaarheid";19-02-2014;;"Jans Lies";;03-03-2014;;WL;;03-03-2014;03-03-2014;03-03-2014;03-03-2014;"2014-0524.doc, 2014-0524.doc"
522;Ja;"Schorsing GRUP wegverbinding ieper - Veurne - Werkzaamheden N8 Veurne";19-02-2014;;"Godderis-T'Jonck Danielle";;03-03-2014;;WWV;;01-01-1970;03-03-2014;03-03-2014;03-03-2014;"2014-0522.doc, 2014-0522.doc"
