PV;"Te laat";Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
594;Ja;"Arendonk - aanleg fietsinfrastructuur";05-03-2014;;"Kennes Ward";;17-03-2014;;WA;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;"2014-0594.doc, 2014-0594.doc"
510;Ja;"Tramlijnen 2 en 4 Antwerpen - doorstroming aan kruispunten";18-02-2014;;"Penris Jan";;07-03-2014;;WA;;07-03-2014;07-03-2014;07-03-2014;07-03-2014;"2014-0510.doc, 2014-0510-AWV-gec-aangepast.doc, Def antw vraag 510.doc"
586;Ja;"Doortrekking N171 Kontich-Boom - Stand van zaken";28-02-2014;;"Peeters Dirk";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0586.docx, 2014-0586.doc"
573;Ja;" Wegverharding E34 Zoersel - Turnhout - Timing";27-02-2014;;"Kennes Ward";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0573.doc, 2014-0573-aangepast.doc"
572;Ja;"Herbelijning kruispunt R11/N1 Mortsel - timing";27-02-2014;;"Vermeiren Goedele";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0572.doc, 2014-0572.doc"
542;Ja;"N123 Herentals - Lichtaart - Verkeersveiligheid";21-02-2014;;"Reekmans Peter";;06-03-2014;;WA;;06-03-2014;06-03-2014;06-03-2014;06-03-2014;"2014-0542.doc, 2014-0542-aangepast.doc"
519;Ja;"Krigsbaan Hoboken - Overdracht";19-02-2014;;"Wienen Wim";;03-03-2014;;WA;;03-03-2014;03-03-2014;03-03-2014;03-03-2014;"2014-0519.doc, 2014-0519-aangepast.doc, 2014-0519-bijlage.pdf"
507;Nee;"Nx Stabroek - stand van zaken";17-02-2014;;"Peeters Dirk";;27-02-2014;;WA;;01-01-1970;27-02-2014;27-02-2014;27-02-2014;"2014-0507.doc, 2014-0507-AWV.doc, 2014-0507bijlage.pdf"
487;Onberekenbaar;"E313 Olen - geuidsschermen";12-02-2014;;"Smaers Griet";;24-02-2014;;WA;;;24-02-2014;24-02-2014;24-02-2014;2014-0487.doc
485;Nee;"Vrije busbaan N177 - Uitbreiding";10-02-2014;;"De Ridder Annick";;21-02-2014;;WA;;01-01-1970;21-02-2014;21-02-2014;21-02-2014;"2014-0485.docx, 2014-0485.doc"
483;Nee;"Kempische Noord-Zuidverbinding - Kostprijs";10-02-2014;;"Peeters Dirk";;21-02-2014;;WA;;01-01-1970;21-02-2014;21-02-2014;21-02-2014;"2014-0483.docx, 2014-0483.doc"
473;Nee;"Fietspad N10 Koningshooikt - heraanleg";06-02-2014;;"Hendrickx Marc";;19-02-2014;;WA;;01-01-1970;19-02-2014;19-02-2014;19-02-2014;"2014-0473.doc, 2014-0473-aangepast.doc"
465;Onberekenbaar;"E34 Antwerpen - eindhoven - verlichtingspalen afrit 24";04-02-2014;;"Kennes Ward";;14-02-2014;;WA;;;14-02-2014;14-02-2014;14-02-2014;2014-0465.doc
440;Onberekenbaar;"Oude Vaartstraat Ranst - Geluidsschermen";30-01-2014;;"Van den Eynde Marleen";;12-02-2014;;WA;;;12-02-2014;12-02-2014;12-02-2014;"2014-0440.doc, 2014-0440.doc"
439;Onberekenbaar;"E19 Keizershoek Kontich - Geluidsscherm";30-01-2014;;"Van den Eynde Marleen";;12-02-2014;;WA;;;12-02-2014;12-02-2014;12-02-2014;"2014-0439.doc, 2014-0439.doc"
435;Onberekenbaar;"Kruispunt Vrijheid / Buizelstraat Hoogstraten - Zebrapad";29-01-2014;;"Huybrechts Patrick ";;11-02-2014;;WA;;;11-02-2014;11-02-2014;11-02-2014;"2014-0435.doc, 2014-0435.doc"
427;Onberekenbaar;"Albertkanaal Oelegem - Flitscamera";28-01-2014;;"Schrijvers Katrien";;10-02-2014;;WA;;;10-02-2014;10-02-2014;10-02-2014;"2014-0427.doc, 2014-0427.doc"
408;Onberekenbaar;"Fietspad N118 - Arendonk - Ravels - Weigering bouwvergunning";23-01-2014;;"Kennes Ward";;05-02-2014;;WA;;;05-02-2014;05-02-2014;05-02-2014;"2014-0408.doc, 2014-0408.doc"
407;Onberekenbaar;"E314 - E34 Tuinwijk Borgerhout - Geluidsschermen";23-01-2014;;"Homans Liesbeth";;05-02-2014;;WA;;;05-02-2014;05-02-2014;05-02-2014;"2014-0407.doc, 2014-0407aangepast.doc"
401;Onberekenbaar;"N118 - Arendonk Ravels - aanleg fietspad";22-01-2014;;"Reekmans Peter";;04-02-2014;;WA;;;04-02-2014;04-02-2014;04-02-2014;"2014-0401.doc, 2014-0401.doc"
398;Onberekenbaar;"Kruispunt Desguinlei-Van Rijswycklaan Antwerpen - Geluidssignalen voor blinden en slechtzienden";22-01-2014;;"De Gucht Jean-Jacques";;04-02-2014;;WA;;;04-02-2014;04-02-2014;04-02-2014;"2014-0398.doc, 2014-0398.doc"
397;Onberekenbaar;"Verhoging brug Houtlaan Wijnegem - Flankerende maatregelen";21-01-2014;;"Dillen Marijke";;03-02-2014;;WA;;;03-02-2014;03-02-2014;03-02-2014;2014-0397.doc
396;Onberekenbaar;"N121 - Schilde - 's Gravenwezel - Gevaarlijke bocht";21-01-2014;;"Dillen Marijke";;03-02-2014;;WA;;;03-02-2014;03-02-2014;03-02-2014;"2014-0396.doc, 2014-0396.doc"
391;Onberekenbaar;"Aanleg fietspad Herentals - Grobbendonk - stand van zaken";17-01-2014;;"Rzoska Björn";;03-02-2014;;WA;;;03-02-2014;03-02-2014;03-02-2014;"2014-0391.doc, 2014-0391.doc"
371;Onberekenbaar;"Antwerpse Ring - Geluidsschermen";15-01-2014;;"Bastiaens Caroline";;28-01-2014;;WA;;;28-01-2014;28-01-2014;28-01-2014;2014-0371.doc
349;Onberekenbaar;"N12 Turnhoutsebaan Antwerpen - Turnhout - heraanleg";09-01-2014;;"Dillen Marijke";;22-01-2014;;WA;;;22-01-2014;22-01-2014;22-01-2014;"2014-0349.doc, 2014-0349-aangepast.doc"
317;Onberekenbaar;"Kruispunten A12 - Ongevallen";20-12-2013;;"De Kort Dirk";;15-01-2014;;WA;;;15-01-2014;15-01-2014;15-01-2014;"2014-0317.doc, 2014-0317-2e aanpassing.doc, PV317-bijlage.msg"
310;Onberekenbaar;"Gewestwegen stad Antwerpen - Fietsveiligheid";19-12-2013;;"Vogels Mieke";;16-01-2014;;WA;;;16-01-2014;16-01-2014;16-01-2014;"2014-0310.docx, 2014-0310-aangepast.doc, 2014-0310bijlage.xlsx"
306;Onberekenbaar;"Krijgsbaan Hoboken - Herstelling - Overdracht";18-12-2013;;"Wienen Wim";;10-01-2014;;WA;;;10-01-2014;10-01-2014;10-01-2014;"2014-0306.doc, 2014-0306aangepast.doc, 2014-0306-2e aanpassing.doc"
294;Onberekenbaar;"Omleidingsweg N14 Zoersel - Stand van zaken";11-12-2013;;"Diependaele Matthias";;23-12-2013;;WA;;;23-12-2013;23-12-2013;23-12-2013;"2014-0294.doc, 2014-0294.doc, 2014-0294aangepast-ter.doc"
267;Onberekenbaar;"Niet-aangelegd fietspad Generaal Lemanstraat Antwerpen - herbestemming middelen";04-12-2013;;"Vogels Mieke";;17-12-2013;;WA;;;17-12-2013;17-12-2013;17-12-2013;"2014-0267.doc, 2014-0267.doc, 2014-0267-2e aanpassing.doc"
224;Onberekenbaar;"Kruispunt N1-N12 Antwerpen - Verkeerslicht fietsers";28-11-2013;;"Vermeiren Goedele";;13-12-2013;;WA;;;13-12-2013;13-12-2013;13-12-2013;"2014-0224.docx, 2014-0224.doc"
178;Onberekenbaar;"Bovenlokaal functioneel fietsroutennetwerk - provincie antwerpen";12-11-2013;;"Reekmans Peter";;22-11-2013;;WA;;;22-11-2013;22-11-2013;22-11-2013;2014-0178.docx
163;Onberekenbaar;"Fly-over- N19 Geel - stand van zaken";06-11-2013;;"Reekmans Peter";;20-11-2013;;WA;;;20-11-2013;20-11-2013;20-11-2013;2014-0163.docx
124;Onberekenbaar;"Masterplan 2020 Antwerpen - verbindingsweg N10-R11";28-10-2013;;"D'Hulster Steve";;08-11-2013;;WA;;;08-11-2013;08-11-2013;08-11-2013;"2014-0124.docx, 2014-0124.doc"
114;Onberekenbaar;"Fietsbrug Mol - Postel - stand van zaken";24-10-2013;;"Deckx Kathleen";;06-11-2013;;WA;;;06-11-2013;06-11-2013;06-11-2013;"2014-0114.docx, 2014-0114.doc"
111;Onberekenbaar;"Fietspad N10 Koningshooikt - procedure Raad van State";23-10-2013;;"Hendrickx Marc";;06-11-2013;;WA;;;06-11-2013;06-11-2013;06-11-2013;2014-0111.docx
89;Onberekenbaar;"Fietspad N10 Koningshooikt - Heraanleg";18-10-2013;;"Vanderpoorten Marleen";;31-10-2013;;WA;;;31-10-2013;31-10-2013;31-10-2013;2014-0089.docx
85;Onberekenbaar;"Fietspad Neerhoevenlaan - Groenhof Mortsel - Stand van zaken";17-10-2013;;"D'Hulster Steve";;30-10-2013;;WA;;;30-10-2013;30-10-2013;31-10-2013;"2014-0085.docx, 2014-0085.doc"
